room_type,required_car_parking_spaces,special_requests,rate,total_guests,hotel_type,parking,restaurant,pool_and_spa,avg_review,cancelled_last_30_days,advance_reservation_days,board_FB,board_SC,distribution_channel_Direct,distribution_channel_TA/TO,country_POR,country_SPA,market_segment_Complementary,market_segment_Direct,market_segment_Leisure
1,0,0,-1.059430251326663,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,0,0,0,1,0,0,0
1,0,0,-1.059430251326663,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,0,0,0,1,0,0,0
1,0,0,0.5377642068132067,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7993729356811624,0,0,0,1,0,1,0,0,1
1,0,0,0.5200926042608831,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.8182979015021435,0,0,1,0,0,1,0,1,0
1,0,0,1.6025605122397866,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7047481065762567,0,0,0,1,0,1,0,0,1
1,0,0,1.6025605122397866,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7047481065762567,0,0,0,1,0,1,0,0,1
1,0,0,2.917897124825562,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7236730723972379,0,0,0,1,0,1,0,0,1
1,0,0,2.6673568176663665,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7236730723972379,0,0,0,1,0,1,0,0,1
1,0,0,1.6025605122397866,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7047481065762567,0,0,0,1,0,1,0,0,1
1,0,1,1.6025605122397866,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7047481065762567,0,0,0,1,0,1,0,0,1
1,0,0,-0.36418089895989614,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,1,0,1,0,0,1
1,0,0,-0.36418089895989614,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,1,0,1,0,0,1
1,0,0,-0.36418089895989614,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,1,0,1,0,0,1
1,0,0,0.312277930369931,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,0,-0.5489543754898026,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,0,-0.6397752368350109,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,0,-0.7775724057725683,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,0,0,0,1,0,0,0
1,0,0,0.07426463856869552,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,1,0,0,1,0,1,0
1,0,0,-0.36418089895989614,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,1,0,1,0,0,1
1,0,1,-0.6397752368350109,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
0,0,0,1.564979466165907,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.7047481065762567,0,0,1,0,0,1,0,1,0
1,0,0,0.07426463856869552,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,1,0,0,1,0,1,0
1,0,1,0.5200926042608831,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,1,0,0,1,0,1,0
1,0,1,-0.5270320986133731,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,1,0,0,1,0,1,0
1,0,0,1.0262551706968477,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,1,0,0,1,0,1,0
1,0,0,-0.8777885286362465,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,0,-0.426815975749695,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.7993729356811624,0,0,0,1,0,1,0,0,1
1,0,0,-0.426815975749695,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.7993729356811624,0,0,0,1,0,1,0,0,1
1,0,0,-0.426815975749695,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.7993729356811624,0,0,0,1,0,1,0,0,1
1,0,0,-0.16374865323253995,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,0,-0.426815975749695,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.7993729356811624,0,0,0,1,0,1,0,0,1
1,0,0,-0.426815975749695,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.7993729356811624,0,0,0,1,0,1,0,0,1
1,0,0,-0.426815975749695,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.7993729356811624,0,0,0,1,0,1,0,0,1
1,0,1,-1.1721733895483009,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7047481065762567,0,0,0,0,0,1,0,0,0
1,0,1,-1.1721733895483009,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.742598038218219,0,0,0,0,0,1,0,0,0
1,0,1,-1.1847004049062606,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7047481065762567,0,0,0,0,0,1,0,0,0
1,0,1,-1.1847004049062606,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,0,0,0,1,0,0,0
1,0,1,-1.1847004049062606,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,0,0,0,1,0,0,0
1,0,1,-1.1847004049062606,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8372228673231247,0,0,0,0,0,1,0,0,0
1,0,1,-0.7775724057725683,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,0,0,1,0,0,0
1,0,1,-1.056298497487173,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.7236730723972379,0,0,1,0,0,1,0,1,0
1,0,1,-1.056298497487173,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.7236730723972379,0,0,1,0,0,1,0,1,0
1,0,0,-0.426815975749695,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.7993729356811624,0,0,0,1,0,1,0,0,1
1,0,0,-0.426815975749695,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.7993729356811624,0,0,0,1,0,1,0,0,1
1,0,1,-1.1847004049062606,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,0,0,0,1,0,0,0
